id	instruments	genres	place	coordinates	is-danced	youtube-id	start-ts	end-ts
ainte-mor-milia-sygkathistos	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Epirotic	Epirus|Metsovo	39.77279687831799|21.180210833893486	1	ifRo_Z05kuQ	5758	6159
aintes-oples	Voice|Percussion	Traditional|Mikrasiatiko	Asia-minor|Smyrni	38.40759370339183|27.149200099431013	1	-YUXPO1BSRw	3588	3783
aivali	Voice	Traditional|Mikrasiatiko	Asia-minor|Aivali	39.3374405113661|26.71068596969497	1	-YUXPO1BSRw	5191	5281
aivaliotiko	Voice|Tambouras|Percussion|Ney|Guitar	Rebetiko	None	None	0	XpfvGga-5tU	2173	2433
aivaliotiko-zeibekiko	Percussion|Oud|Lyra	Traditional|Mikrasiatiko	Asia-minor|Aivali	39.3374405113661|26.71068596969497	1	-YUXPO1BSRw	5449	5586
aivaliotiko-zeibekiko-2	Violin|Santouri|Laouto	Traditional|Mikrasiatiko	Asia-minor|Aivali	39.3374405113661|26.71068596969497	1	jpktBKou-_E	5736	5863
aivaliotikos	Violin|Santouri|Laouto|Accordion	Traditional|Mikrasiatiko	Asia-minor|Aivali	39.3374405113661|26.71068596969497	1	Uijl65qxrrg	1128	1335
akomi-ena-potiraki	Voice|Mandolin|Guitar|Bass	Urban-folk|Urban-light	None	None	0	GgGRYZMKezE	3084	3256
akrida	Voice|Violin|Laouto|Bass	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	0	V-8YVU5FnTo	6315	6551
akrogialies-deilina	Voice|Piano|Guitar|Bouzouki|Bass|Accordion	Laiko	None	None	0	tzCMruLs9bM	829	943
ala-routza-peismatika-disticha	Voice|Tsampouna	Traditional|Nisiotiko|Aegean	Aegean-sea|Kalymnos	36.987573229226555|26.988755984703815	0	-Lae0QmE15A	4865	5062
alabeis	Violin|Percussion|Laouto|Klarino|Guitar	Traditional|Epirotic	Epirus|Arta	39.16897594931634|20.982720956750025	0	GIOAt5GHt3I	2219	2460
alatsatiani	Voice|Percussion|Oud|Lyra	Traditional|Mikrasiatiko	Asia-minor|Smyrni	38.40759370339183|27.149200099431013	1	-YUXPO1BSRw	4650	4892
alexandra	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Epirotic	Epirus|Zagori	39.86483576229186|20.928467851900137	0	qrOwc1mLFUk	749	927
alexandriani-felacha	Voice|Percussion|Oud|Lyra	Urban-folk|Mikrasiatiko	Asia-minor	38.5231944247523|26.521702731335296	0	-YUXPO1BSRw	4515	4632
alfavitari-tis-agapis	Voice|Violin|Mandolin|Laouto|Guitar	Traditional|Nisiotiko|Ionian	Ionian-sea	38.43167066526269|20.675489887943545	1	Aws0Y3aLaIs	3891	4049
ali-pasas	Voice|Violin|Guitar|Cimbalom|Bass|Accordion	Traditional|Mikrasiatiko	Asia-minor|Smyrni	38.40759370339183|27.149200099431013	0	TpK-XXFl51o	5348	5603
alismono-kai-chairomai	Voice	Traditional|Epirotic|Polyphonic	Epirus	39.66608483034404|20.826263473906028	0	KzKkszPd-eM	1599	1762
aliti-m-eipes-mia-vradia	Voice|Guitar|Bouzouki|Baglamas|Accordion	Rebetiko	None	None	0	YEPmaDr_UMA	5386	5566
allotines-mou-epohes	Voice|Guitar|Bouzouki|Bass|Accordion	Laiko	None	None	0	vl46xtCpsEw	5585	5735
alvania	Violin|Percussion|Laouto|Klarino	Traditional|Epirotic	Epirus|Pogoni	39.957398151152326|20.502372173521454	1	UaYoyQPZEuo	3497	3585
aman-katerina-mou	Voice|Violin|Santouri|Percussion|Oud|Guitar	Traditional|Mikrasiatiko	Asia-minor|Smyrni	38.40759370339183|27.149200099431013	1	5fJXkyrSxo4	3997	4208
amanes	Voice|Oud	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	0	mp1pK6b1Oho	5213	5386
amanes-2	Voice|Guitar|Bouzouki|Baglamas|Accordion	Traditional|Mikrasiatiko	Asia-minor	38.5231944247523|26.521702731335296	0	YEPmaDr_UMA	6235	6495
amanes-3	Voice|Violin|Tambouras|Percussion|Ney|Laouto|Bass	Traditional|Mikrasiatiko	Asia-minor	38.5231944247523|26.521702731335296	0	vzCauXf6VhE	4195	4410
amanes-5	Voice|Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	0	CPLOoAZonTI	2101	2257
amanes-6	Voice|Violin|Percussion|Klarino|Guitar	Traditional|Mikrasiatiko	Asia-minor	38.5231944247523|26.521702731335296	0	vJ4F64WkQA0	1285	1568
amanes-otan-tis-nychtes-perpato	Voice|Oud	Traditional|Mikrasiatiko	Asia-minor	38.5231944247523|26.521702731335296	0	-YUXPO1BSRw	4414	4515
amanes-paraponiara-mou-kardia	Voice|Percussion|Oud	Traditional|Mikrasiatiko	Asia-minor	38.5231944247523|26.521702731335296	0	-YUXPO1BSRw	828	1095
amorgiano	Voice|Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Amorgos	36.85473066390222|25.91687794376989	1	CPLOoAZonTI	2658	2912
amygdalaki-tsakisa	Voice|Violin|Santouri|Percussion|Laouto|Klarino|Guitar	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	1	5z-ZGft2zCI	5418	5487
amygdalo-etsakisa-lesvos	Voice|Violin|Santouri|Percussion|Laouto|Klarino	Traditional|Nisiotiko|Aegean	Aegean-sea|Lesbos	39.23867882632123|26.256429816602346	1	U6oWHEVNvfY	5009	5142
an-den-pernas-ki-an-den-pernas	Voice|Violin|Santouri|Percussion|Oud|Kanonaki	Traditional|Mikrasiatiko|Politiko	Asia-minor|Poli	41.01536713612946|29.015778607989805	1	5fJXkyrSxo4	3032	3219
an-einai-i-agapi-eglima	Voice|Guitar|Bouzouki|Bass|Accordion	Laiko	None	None	0	vl46xtCpsEw	4123	4262
an-imoun-antras	Voice|Violin|Santouri|Percussion|Laouto|Guitar	Rebetiko	None	None	0	0cj8BNcAhg4	4088	4313
anastasia-kalamatianos	Voice|Violin|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Kalymnos	36.987573229226555|26.988755984703815	1	-Lae0QmE15A	2728	2928
anathema-ton-aitio	Voice	Traditional|Nisiotiko|Aegean	Aegean-sea|Lesbos	39.23867882632123|26.256429816602346	0	mp1pK6b1Oho	423	657
anathema-ton-chrysiko	Voice	Traditional|Peloponnesian	Peloponnese|Kalavryta	38.02253753321499|22.117596423290088	0	6bLFhgwoKsY	48	136
andriana	Voice|Violin|Percussion|Klarino|Guitar|Accordion	Urban-folk	None	None	0	vJ4F64WkQA0	261	412
aneforitsa	Voice|Percussion|Lyra|Laouto	Traditional|Pontian	Pontus	40.98830222241354|39.727075504282254	1	VmaUraZpvI8	656	792
anemologio	Voice|Piano|Electric-guitar|Bass	Newer|Melodized-poetry	None	None	0	cKXi8_5_Rd4	5112	5398
anestaki	Voice|Guitar|Bouzouki|Bass|Baglamas|Accordion	Laiko	None	None	0	ysRZQuuew_A	5916	6103
anevase-me-mana-mou-siganos	Voice|Tsampouna|Percussion	Traditional|Nisiotiko|Aegean	Aegean-sea|Chios	38.42426026626016|26.058525334235867	1	_mUIVNdIJFU	5095	5192
anevika-sti-piperia	Voice|Percussion|Guitar|Bouzouki|Bass|Accordion	Traditional	None	None	1	pxhw04LZhiY	3658	3883
angelokamomeni-mou	Voice|Guitar|Bouzouki|Baglamas|Accordion	Rebetiko	None	None	0	YEPmaDr_UMA	5026	5215
anoixan-ta-dentra-oula	Voice|Violin|Percussion|Laouto|Klarino|Guitar	Traditional|Macedonian	Macedonia	40.910884328073564|23.22153108200181	1	5z-ZGft2zCI	3070	3153
anoixi-bainei-sto-chorio	Voice|Percussion|Lyra|Laouto|Guitar|Bass	Traditional|Nisiotiko|Cretan	Crete	35.19124573828352|25.024171535651924	1	lBs4PyiRsIY	4928	5136
antra-mou-paei	Voice|Mandolin|Guitar|Bass|Accordion	Traditional|Southern-Italian	Southern-Italy	37.4956965444923|14.488217381442661	0	fooYiNew79E	5331	5538
apan-kat	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Central-Greek	Central-Greece	38.87601135662379|22.319114372276747	1	00SbCAkyXhQ	479	713
apano-stin-triantafyllia-2	Voice|Violin|Klarino	Traditional|Macedonian	Macedonia|Halkidiki	40.092861562796394|23.894207474730937	0	U6oWHEVNvfY	991	1107
apisomeritikos	Voice|Violin|Percussion|Laouto|Bass	Traditional|Nisiotiko|Aegean	Aegean-sea|Naxos	37.05683517815581|25.50612611053723	1	V-8YVU5FnTo	2696	2931
apo-ta-glyka-sou-matia	Voice|Violin|Santouri|Percussion|Oud|Kanonaki	Traditional|Mikrasiatiko|Politiko	Asia-minor|Poli	41.01536713612946|29.015778607989805	1	5fJXkyrSxo4	2351	2654
apo-ta-glyka-sou-matia-2	Voice|Violin|Santouri|Percussion|Oud|Kanonaki	Traditional|Mikrasiatiko	Asia-minor|Smyrni	38.40759370339183|27.149200099431013	1	5fJXkyrSxo4	4413	4629
apo-tin-athina-os-ton-peiraia	Voice|Tsampouna|Santouri|Percussion|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	1	U6oWHEVNvfY	2842	2994
apo-tin-patra-erchomai	Voice|Violin|Percussion|Laouto|Klarino|Floghera	Traditional|Peloponnesian	Peloponnese	37.200485993306756|22.362045452582027	1	6bLFhgwoKsY	3940	4105
apo-to-chorio-erchomin	Voice|Violin|Guitar|Accordion	Urban-folk|Urban-light	None	None	0	vJ4F64WkQA0	2108	2188
apo-xeno-topo-syrtos	Voice|Percussion|Oud	Traditional|Mikrasiatiko	Asia-minor|Smyrni	38.40759370339183|27.149200099431013	0	-YUXPO1BSRw	43	240
apochairetismos	Voice|Piano|Percussion|Ney|Laouto|Guitar|Bass	Newer	None	None	0	lBs4PyiRsIY	2523	2728
apopse-eisai-gia-fili	Voice|Piano|Guitar|Bouzouki|Bass|Accordion	Laiko	None	None	0	zkoqg3VRVLA	42	300
apopse-i-poulia-malone	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Central-Greek	Central-Greece	38.87601135662379|22.319114372276747	1	00SbCAkyXhQ	5108	5471
apopse-kaneis-bam	Voice|Percussion|Guitar|Bouzouki|Bass|Accordion	Laiko	None	None	1	pxhw04LZhiY	6047	6214
apopse-kerna-me	Voice|Guitar|Bouzouki|Bass|Accordion	Laiko	None	None	0	GgGRYZMKezE	5892	6098
apopse-sto-diko-sou-machala	Voice|Percussion|Guitar|Bouzouki|Bass|Accordion	Rebetiko	None	None	1	pxhw04LZhiY	553	749
apopse-sto-diko-sou-mahala	Voice|Percussion|Oud|Ney|Lyra|Kanonaki|Bass	Rebetiko|Arrangement	None	None	0	Dd0IreIlLJE	4811	4947
apopse-sto-spitaki-mou	Voice	Traditional|Sarakatsani	None	None	0	FXS9jCtkFLk	399	533
apopse-ta-matakia-sou-kathistiko	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Epirotic|Vlachic	Epirus|Metsovo	39.77279687831799|21.180210833893486	0	wFOvhBpFM1o	5521	5742
apopse-ta-mesanychta	Voice|Violin|Santouri|Percussion|Laouto|Klarino	Traditional|Nisiotiko|Euboean	Euboea	38.50843106661583|24.003613925733106	1	ozHAP8gMIY8	2699	2959
apopse-tha-rtho-na-sta-psallo	Voice|Guitar|Bouzouki|Baglamas|Accordion	Rebetiko	None	None	0	YEPmaDr_UMA	1806	2005
apopse-tin-kithara-mou-eptanisiaki-kantada	Voice|Violin|Mandolin|Laouto|Guitar	Traditional|Nisiotiko|Ionian	Ionian-sea|Zakynthos	37.772294002104616|20.76145558128207	0	Aws0Y3aLaIs	2933	3208
apouthe-vgainei-to-nero	Voice|Violin|Santouri|Percussion|Laouto|Klarino	Traditional|Sarakatsani	None	None	1	cYE9_TXCmHs	1522	1785
aprili-m-drosere	Voice|Violin|Santouri|Percussion|Laouto|Klarino|Guitar	Traditional|Central-Greek	Central-Greece	38.87601135662379|22.319114372276747	1	5z-ZGft2zCI	948	1190
aptaliko-2	Voice|Guitar|Bouzouki|Bass|Accordion	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	1	q9e6UQh6d0c	4610	4816
aptalikos	Voice|Violin|Santouri|Percussion|Laouto|Klarino|Guitar	Traditional|Mikrasiatiko	Asia-minor	38.5231944247523|26.521702731335296	1	5z-ZGft2zCI	5545	5675
aptalikos-3	Violin|Laouto|Guitar	Traditional|Nisiotiko|Aegean	Aegean-sea|Samos	37.740408557878254|26.8494581451878	1	Uijl65qxrrg	2311	2507
aradeo	Voice|Percussion|Guitar|Bass|Accordion	Traditional|Southern-Italian	Southern-Italy	37.4956965444923|14.488217381442661	1	fooYiNew79E	5786	6072
arap-sousta	Violin|Percussion|Oud|Klarino|Kanonaki	Traditional|Nisiotiko|Aegean	Aegean-sea|Chios	38.42426026626016|26.058525334235867	1	J-PqcxTXtp4	4464	4716
arap-sousta-amorgou	Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Amorgos	36.85473066390222|25.91687794376989	0	jpktBKou-_E	746	780
arapiko-louloudi	Voice|Piano|Guitar|Bouzouki|Bass|Accordion	Rebetiko	None	None	0	tzCMruLs9bM	447	644
archangelitikos-rodos	Voice|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Rhodes	36.2575388880633|28.015701472634944	0	U6oWHEVNvfY	3319	3539
arga-einai-pia-arga	Voice|Guitar|Bouzouki|Bass|Accordion	Laiko	None	None	0	vl46xtCpsEw	5353	5554
argon-tik	Percussion|Lyra	Traditional|Pontian	Pontus	40.98830222241354|39.727075504282254	1	VmaUraZpvI8	2838	2993
argyroula	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Peloponnesian	Peloponnese	37.200485993306756|22.362045452582027	1	6bLFhgwoKsY	5108	5226
aristeidis	Voice|Violin|Percussion|Laouto|Klarino|Guitar	Traditional|Central-Greek|Arvanitic	Central-Greece	38.87601135662379|22.319114372276747	1	GIOAt5GHt3I	5831	5963
arkadiani-2	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Peloponnesian	Peloponnese|Arcadia	37.521613336357674|22.372682419794433	1	o4XzhbCL0QM	4455	4654
armenaki	Voice|Violin|Percussion|Ney|Laouto|Bass	Newer	None	None	0	V-8YVU5FnTo	1889	2140
aroma	Voice	Traditional|Nisiotiko|Cretan	Crete	35.19124573828352|25.024171535651924	0	fooYiNew79E	3353	3453
arrostisa-sta-xena-makria-sou	Voice|Guitar|Bouzouki|Bass|Baglamas|Accordion	Rebetiko	None	None	0	ysRZQuuew_A	1571	1785
arrostisa-sta-xena-markos-vamvakaris	Voice|Guitar|Bouzouki|Baglamas|Accordion	Rebetiko	None	None	0	L3fe3KGksU8	2484	2674
artemonas	Voice|Violin|Santouri|Percussion|Laouto|Guitar	Traditional|Nisiotiko|Aegean	Aegean-sea|Sifnos	36.983851358131275|24.709400725229422	1	5z-ZGft2zCI	3960	4074
artemonas-2	Voice|Violin|Laouto|Bass	Traditional|Nisiotiko|Aegean	Aegean-sea|Sifnos	36.983851358131275|24.709400725229422	0	V-8YVU5FnTo	5169	5318
arvanitiko	Violin|Percussion|Laouto	Traditional|Central-Greek|Arvanitic	Central-Greece	38.87601135662379|22.319114372276747	1	8gH9iexkXME	4347	4489
arvanitiko-2	Violin|Percussion|Laouto|Klarino	Traditional|Epirotic|Arvanitic	Epirus	39.66608483034404|20.826263473906028	0	ifRo_Z05kuQ	1329	1515
arvanitovlachiko	Violin|Percussion|Laouto	Traditional|Epirotic|Arvanitic|Vlachic	Epirus|Metsovo	39.77279687831799|21.180210833893486	0	EoJoqvZukgw	4966	5108
as-chamilonan-ta-vouna-2	Voice|Violin|Percussion|Laouto|Klarino|Guitar	Traditional|Macedonian	Macedonia	40.910884328073564|23.22153108200181	1	5z-ZGft2zCI	2945	3069
as-to-cheraki-sou	Voice|Guitar|Bass|Accordion	Newer|Urban-light	None	None	0	VrnG_gxNwH8	6011	6320
as-vastaxei-aftos-o-balos	Voice|Violin|Santouri|Laouto|Bass	Traditional|Mikrasiatiko	Asia-minor	38.5231944247523|26.521702731335296	1	q9e6UQh6d0c	796	909
asimenia-alysida	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Epirotic	Epirus|Pogoni	39.957398151152326|20.502372173521454	1	ifRo_Z05kuQ	2596	2716
aspra-mou-poulia	Voice	Traditional|Sarakatsani	None	None	0	FXS9jCtkFLk	600	738
aspra-mou-poulia-2	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Epirotic	Epirus	39.66608483034404|20.826263473906028	1	8gH9iexkXME	4488	4732
aspro-garoufalaki-mou	Voice|Violin|Santouri|Guitar	Traditional|Nisiotiko|Aegean	Aegean-sea|Lesbos	39.23867882632123|26.256429816602346	1	EoJoqvZukgw	3035	3254
aspro-mou-triantafyllaki-2	Voice|Violin|Laouto|Bass	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	0	V-8YVU5FnTo	4725	4803
asta-ta-mallakia-sou	Voice|Violin|Piano|Guitar|Bass|Accordion	Urban-folk|Urban-light	None	None	0	Desg3iWdxGU	2585	2822
astasiara-nou-ntournii-apopse-den-koimithika-metsovitikos	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Epirotic|Vlachic	Epirus|Metsovo	39.77279687831799|21.180210833893486	1	wFOvhBpFM1o	2717	2925
ataris	Voice|Percussion|Oud|Lyra	Traditional|Mikrasiatiko	Asia-minor|Smyrni	38.40759370339183|27.149200099431013	1	-YUXPO1BSRw	2747	2921
ateleioto	Piano|Guitar|Bouzouki|Bass|Accordion	Laiko	None	None	0	zkoqg3VRVLA	5995	6073
atsapat-serra	Percussion|Lyra	Traditional|Pontian	Pontus	40.98830222241354|39.727075504282254	1	VmaUraZpvI8	5956	6237
atzidies	Violin|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Naxos	37.05683517815581|25.50612611053723	0	guoEekslQ2M	4599	4761
azizie	Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	1	EoJoqvZukgw	1121	1394
babessa	Voice|Violin|Santouri|Percussion|Laouto|Guitar	Rebetiko	None	None	1	0cj8BNcAhg4	2370	2556
baino-mes-st-abeli-berati	Voice|Violin|Percussion|Laouto	Traditional|Thessalic	Thessaly	39.57905217840133|22.421756857721853	1	5z-ZGft2zCI	2537	2657
baintouska-thraki	Violin|Percussion|Ney|Laouto|Bass	Traditional|Thracian	Thrace	40.99020017616846|26.004757197151037	1	V-8YVU5FnTo	571	788
bairatse	Trumpet|Trombone|Percussion|Klarino|Accordion	Traditional|Macedonian	Macedonia|Kozani	40.30224449405656|21.79364300779031	1	dIqJ-N3_Tso	964	1167
balaristos-mykonou	Tsampouna|Percussion|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Mykonos	37.45388585367811|25.385311544759357	1	5z-ZGft2zCI	4660	4822
balatsos	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Epirotic	Epirus|Syrrako	39.59709819947839|21.123307489736774	1	niplI7Bv-30	5119	5420
balos	Violin|Santouri|Percussion|Laouto|Klarino|Guitar	Traditional|Nisiotiko|Euboean	Euboea	38.50843106661583|24.003613925733106	1	ozHAP8gMIY8	4817	4964
balos-2	Violin|Santouri|Percussion|Laouto|Guitar	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	1	5z-ZGft2zCI	4074	4238
balos-3	Voice|Violin|Santouri|Percussion|Laouto|Klarino|Guitar	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	1	5z-ZGft2zCI	5487	5541
balos-4	Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	1	jpktBKou-_E	2966	3245
balos-5	Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	1	jpktBKou-_E	4443	4542
balos-6	Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Paros	37.059547738452586|25.18271237956369	1	jpktBKou-_E	6195	6230
balos-7	Voice|Violin|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	0	guoEekslQ2M	4258	4403
balos-8	Violin|Santouri|Percussion|Guitar	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	1	EoJoqvZukgw	3336	3455
balos-9	Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	1	EoJoqvZukgw	1553	1922
balos-androu	Voice|Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Andros	37.8542888035967|24.88001003014634	1	CPLOoAZonTI	6042	6455
balos-as-tragoudiso-ki-as-charo	Voice|Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	1	EoJoqvZukgw	6237	6522
balos-chitzaz-lesvos	Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Lesbos	39.23867882632123|26.256429816602346	1	CPLOoAZonTI	1292	1443
balos-ko	Violin|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Kos	36.85248114414557|27.228892044478616	1	CJ7m2WduEh8	3714	3833
balos-kykladon	Voice|Violin|Santouri|Laouto|Bass	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	1	q9e6UQh6d0c	2274	2476
balos-matzore	Violin|Santouri|Percussion|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	1	U6oWHEVNvfY	2739	2842
balos-tsitsani	Voice|Violin|Guitar|Bouzouki|Bass|Accordion	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	1	q9e6UQh6d0c	3837	4020
bam-aptalikos	Violin|Santouri|Percussion|Guitar	Traditional|Nisiotiko|Aegean	Aegean-sea|Lesbos	39.23867882632123|26.256429816602346	1	EoJoqvZukgw	2709	2938
barba-mathios	Voice|Tsampouna	Traditional|Nisiotiko|Aegean	Aegean-sea|Samos	37.740408557878254|26.8494581451878	1	Uijl65qxrrg	3381	3516
barbaria	Voice|Violin|Laouto|Bass	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	1	V-8YVU5FnTo	5873	6086
barbouni-mou	Voice|Piano|Percussion|Ney|Laouto|Bass	Traditional|Nisiotiko|Cretan	Crete	35.19124573828352|25.024171535651924	0	lBs4PyiRsIY	5428	5626
barbouni-mou-thalassino	Voice|Violin|Santouri|Percussion|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Lesbos	39.23867882632123|26.256429816602346	1	mp1pK6b1Oho	6019	6206
barbouni-mou-thalassino-2	Voice|Violin|Santouri|Laouto|Bass	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	1	q9e6UQh6d0c	3335	3532
barbouni-mou-thalassino-lesvos	Voice|Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Lesbos	39.23867882632123|26.256429816602346	1	CPLOoAZonTI	1061	1201
bate-koritsia-sto-choro	Voice|Violin|Santouri|Percussion|Laouto|Klarino	Traditional|Nisiotiko|Euboean	Euboea	38.50843106661583|24.003613925733106	1	ozHAP8gMIY8	1911	2123
beikos	Piano|Percussion|Mandolin|Bass	Urban-folk|Mikrasiatiko	Asia-minor	38.5231944247523|26.521702731335296	0	lBs4PyiRsIY	1913	2064
berat-kos-cheimadiotikos	Santouri|Percussion|Laouto|Guitar|Floghera	Traditional|Nisiotiko|Euboean	Euboea	38.50843106661583|24.003613925733106	1	ozHAP8gMIY8	3022	3144
